Data,Open,High,Low,Close,Volume,OI
2015-05-19 00:00:00,8.82,8.97,8.71,8.79,321412,2217
2015-05-20 00:00:00,8.82,8.82,8.49,8.56,232890,1661
2015-05-21 00:00:00,8.60,8.60,8.22,8.52,527724,1471
2015-05-22 00:00:00,8.52,8.64,8.37,8.49,86791,795
2015-05-25 00:00:00,8.49,8.49,8.30,8.45,66019,641
2015-05-26 00:00:00,8.37,8.56,8.07,8.11,109561,1001
2015-05-27 00:00:00,8.11,8.75,8.04,8.71,887644,2436
2015-05-28 00:00:00,8.75,8.90,8.45,8.82,779335,2363
2015-05-29 00:00:00,8.90,8.90,8.45,8.45,485460,3311
2015-06-01 00:00:00,8.45,8.71,8.26,8.71,212197,1383
2015-06-02 00:00:00,8.71,9.58,8.67,9.46,512438,2276
2015-06-03 00:00:00,9.69,9.69,9.31,9.46,358110,3625
2015-06-05 00:00:00,9.54,9.58,9.05,9.16,150093,1167
2015-06-08 00:00:00,9.24,9.69,9.05,9.54,243329,1828
2015-06-09 00:00:00,9.58,9.76,8.64,8.79,300240,2738
2015-06-10 00:00:00,8.82,9.39,8.60,8.90,342584,2169
2015-06-11 00:00:00,8.94,8.97,8.64,8.79,202344,2027
2015-06-12 00:00:00,8.82,8.86,8.64,8.79,76698,824
2015-06-15 00:00:00,8.86,8.97,8.49,8.67,323329,888
2015-06-16 00:00:00,8.67,8.79,8.56,8.64,293742,1661
2015-06-17 00:00:00,8.67,8.90,8.52,8.79,377843,4365
2015-06-18 00:00:00,8.86,8.94,8.67,8.75,466898,2604
2015-06-19 00:00:00,8.75,8.94,8.56,8.60,198030,1651
2015-06-22 00:00:00,8.67,8.71,8.52,8.52,187004,2986
2015-06-23 00:00:00,8.60,8.79,8.56,8.75,165992,1079
2015-06-24 00:00:00,8.79,9.16,8.64,9.09,280160,2460
2015-06-25 00:00:00,9.31,9.31,8.82,9.16,169135,3281
2015-06-26 00:00:00,9.24,9.39,8.90,9.09,128442,1112
2015-06-29 00:00:00,9.01,9.09,8.56,8.79,150413,1004
2015-06-30 00:00:00,8.86,8.86,8.67,8.75,188389,1484
2015-07-01 00:00:00,8.75,9.16,8.75,9.09,266924,1852
2015-07-02 00:00:00,9.12,9.88,9.09,9.88,365833,1089
2015-07-03 00:00:00,9.91,9.91,9.20,9.80,185886,1907
2015-07-06 00:00:00,9.69,9.76,9.09,9.50,190333,1326
2015-07-07 00:00:00,9.43,9.46,9.16,9.31,173982,1407
2015-07-08 00:00:00,9.35,9.43,8.86,9.01,126791,1324
2015-07-10 00:00:00,9.09,9.31,8.97,9.31,91824,1023
2015-07-13 00:00:00,9.35,9.35,9.01,9.27,114008,920
2015-07-14 00:00:00,9.31,9.35,8.97,9.01,106738,1374
2015-07-15 00:00:00,9.05,9.27,8.79,9.27,185806,1956
2015-07-16 00:00:00,9.20,9.27,8.97,9.27,123329,1453
2015-07-17 00:00:00,9.24,9.24,8.94,8.97,96192,955
2015-07-20 00:00:00,8.97,9.05,8.75,8.75,66179,752
2015-07-21 00:00:00,8.71,8.86,8.30,8.41,226924,1384
2015-07-22 00:00:00,8.41,8.41,7.81,7.81,283702,1243
2015-07-23 00:00:00,7.81,7.89,7.25,7.36,161598,1300
2015-07-24 00:00:00,7.36,7.43,6.80,6.95,170573,1166
2015-07-27 00:00:00,6.95,7.10,6.46,7.06,212916,1080
2015-07-28 00:00:00,7.25,7.47,6.72,6.87,167377,1438
2015-07-29 00:00:00,6.83,7.06,6.72,6.80,122930,1504
2015-07-30 00:00:00,6.87,6.95,6.68,6.87,134834,1401
2015-07-31 00:00:00,6.91,7.06,6.68,6.76,562211,5437
